SAT,GPA,Attendance
1714,2.4,0
1664,2.52,0
1760,2.54,0
1685,2.74,0
1693,2.83,0
1670,2.91,0
1764,3,0
1764,3,0
1792,3.01,0
1850,3.01,0
1735,3.02,0
1775,3.07,0
1735,3.08,0
1712,3.08,0
1773,3.12,0
1872,3.17,1
1755,3.17,0
1674,3.17,1
1842,3.17,0
1786,3.19,1
1761,3.19,0
1722,3.19,0
1663,3.2,0
1687,3.21,0
1974,3.24,0
1826,3.28,0
1787,3.28,0
1821,3.28,0
2020,3.28,0
1794,3.28,0
1769,3.28,0
1934,3.28,1
1775,3.29,0
1855,3.29,1
1880,3.29,0
1849,3.31,0
1808,3.32,1
1954,3.34,1
1777,3.37,1
1831,3.37,0
1865,3.37,0
1850,3.38,0
1966,3.38,0
1702,3.39,1
1990,3.39,1
1925,3.4,1
1824,3.4,1
1956,3.4,0
1857,3.41,0
1979,3.41,0
1802,3.41,1
1855,3.42,1
1907,3.42,0
1634,3.42,1
1879,3.44,1
1887,3.47,1
1730,3.47,1
1953,3.47,0
1781,3.47,1
1891,3.48,1
1964,3.49,0
1808,3.49,0
1893,3.5,1
2041,3.51,0
1893,3.51,1
1832,3.52,1
1850,3.52,1
1934,3.54,1
1861,3.58,1
1931,3.58,1
1933,3.59,1
1778,3.59,1
1975,3.6,1
1934,3.6,1
2021,3.61,1
2015,3.62,1
1997,3.64,1
2020,3.65,0
1843,3.71,1
1936,3.71,1
1810,3.71,1
1987,3.73,0
1962,3.76,1
2050,3.81,1
